epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.4628,1.54578,1.60754,1.11583,0.81366,0.71577,0.80125,0.47697,1.40944,1.02616,1.1051,0.000553696,0.000553696,0.000553696
2,35.1107,1.45621,1.05711,1.0744,0.84275,0.70323,0.80596,0.4793,1.37729,0.92021,1.07329,0.00109838,0.00109838,0.00109838
3,51.5344,1.45582,0.99089,1.08102,0.85154,0.75716,0.83732,0.49798,1.34523,0.83508,1.07034,0.00163206,0.00163206,0.00163206
4,67.2456,1.42223,0.94722,1.07276,0.86008,0.72007,0.81377,0.4711,1.39368,0.83876,1.07911,0.00161749,0.00161749,0.00161749
5,83.2937,1.39027,0.89597,1.06721,0.88402,0.75973,0.8577,0.52778,1.3283,0.76428,1.06506,0.00160099,0.00160099,0.00160099
6,99.4691,1.39339,0.86124,1.06493,0.89746,0.77011,0.86947,0.53969,1.29816,0.76324,1.05378,0.00158448,0.00158448,0.00158448
7,115.744,1.36226,0.83995,1.05063,0.8928,0.76962,0.87177,0.55025,1.28514,0.73147,1.04878,0.00156798,0.00156798,0.00156798
8,131.754,1.34119,0.81959,1.04799,0.89368,0.75794,0.85592,0.53249,1.3021,0.75188,1.06065,0.00155148,0.00155148,0.00155148
9,147.642,1.35157,0.81798,1.05587,0.89897,0.78231,0.88625,0.55214,1.27217,0.71171,1.04372,0.00153497,0.00153497,0.00153497
10,163.284,1.32425,0.78451,1.03848,0.88528,0.78618,0.87831,0.56239,1.23714,0.70231,1.03587,0.00151847,0.00151847,0.00151847
11,179.013,1.31737,0.77917,1.03846,0.8953,0.8073,0.88512,0.5617,1.27558,0.70674,1.05626,0.00150197,0.00150197,0.00150197
12,195.017,1.3203,0.76786,1.03741,0.89638,0.80012,0.89024,0.55924,1.28841,0.69067,1.05133,0.00148546,0.00148546,0.00148546
13,211.083,1.31997,0.76699,1.03616,0.90557,0.80213,0.89376,0.55778,1.25302,0.69041,1.03987,0.00146896,0.00146896,0.00146896
14,227.164,1.30524,0.76227,1.03028,0.89337,0.7781,0.88089,0.56276,1.25591,0.6821,1.04438,0.00145246,0.00145246,0.00145246
15,243.375,1.28741,0.75162,1.03406,0.90319,0.81413,0.89786,0.57276,1.24165,0.65283,1.03499,0.00143595,0.00143595,0.00143595
16,259.432,1.29182,0.74327,1.02655,0.90946,0.79567,0.89913,0.54147,1.3598,0.6893,1.08842,0.00141945,0.00141945,0.00141945
17,275.368,1.29367,0.73413,1.02776,0.90643,0.81018,0.89906,0.57456,1.23964,0.64817,1.03319,0.00140295,0.00140295,0.00140295
18,291.118,1.28293,0.71974,1.02648,0.91211,0.82737,0.90565,0.57226,1.26587,0.65182,1.04687,0.00138644,0.00138644,0.00138644
19,306.935,1.27786,0.72127,1.01771,0.91883,0.82411,0.91449,0.58083,1.24098,0.63067,1.03536,0.00136994,0.00136994,0.00136994
20,322.854,1.27252,0.72025,1.02266,0.90375,0.8247,0.91015,0.57105,1.24187,0.63402,1.03222,0.00135344,0.00135344,0.00135344
21,338.762,1.27135,0.7169,1.02453,0.92194,0.82476,0.90956,0.5838,1.23989,0.62696,1.03742,0.00133693,0.00133693,0.00133693
